Rk,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1,Jamal Murray\murraja01,23,48,48,35.5,7.9,16.5,.477,2.7,6.6,.408,5.2,9.9,.523,.559,2.8,3.2,.869,0.8,3.3,4.0,4.8,1.3,0.3,2.3,2.0,21.2
2,Nikola Jokić\jokicni01,25,67,67,35.0,10.2,18.0,.568,1.4,3.3,.411,8.9,14.7,.603,.606,4.6,5.3,.859,2.8,8.1,10.9,8.5,1.4,0.7,3.1,2.7,26.4
3,Michael Porter\portemi01,22,57,50,31.7,7.3,13.4,.543,2.7,6.1,.441,4.6,7.3,.628,.644,1.8,2.3,.788,1.5,5.9,7.5,1.1,0.6,0.9,1.2,2.0,19.1
4,Will Barton\bartowi01,30,56,52,31.0,4.6,10.9,.426,1.8,4.6,.381,2.9,6.3,.459,.507,1.7,2.2,.785,0.7,3.3,4.0,3.2,0.9,0.4,1.7,1.7,12.7
5,Gary Harris\harriga01,26,19,19,30.6,3.6,8.2,.442,1.3,3.9,.320,2.4,4.3,.556,.519,1.2,1.6,.733,0.7,1.8,2.5,1.7,0.9,0.2,0.7,1.9,9.7
6,Aaron Gordon\gordoaa01,25,22,22,26.2,4.0,8.1,.494,0.7,2.6,.259,3.3,5.5,.608,.537,1.3,1.9,.690,1.5,3.4,4.9,2.2,0.6,0.6,1.3,1.7,10.0
7,Austin Rivers\riverau01,28,10,0,26.2,2.9,7.1,.408,1.7,4.6,.370,1.2,2.5,.480,.528,1.1,1.5,.733,0.1,2.0,2.1,2.8,1.3,0.2,0.8,2.0,8.6
8,Monte Morris\morrimo01,25,44,13,26.2,4.0,8.3,.477,1.1,3.0,.377,2.8,5.3,.532,.544,1.3,1.6,.789,0.3,1.9,2.2,3.2,0.7,0.3,0.7,1.0,10.3
9,PJ Dozier\doziepj01,24,50,6,21.8,3.0,7.1,.417,0.9,3.0,.315,2.0,4.1,.490,.483,0.8,1.3,.636,0.7,2.9,3.6,1.8,0.6,0.4,0.9,1.7,7.7
10,Facundo Campazzo\campafa01,29,61,15,21.4,1.8,4.7,.388,1.2,3.2,.359,0.7,1.4,.455,.512,1.1,1.3,.861,0.3,1.7,2.0,3.4,1.2,0.2,1.1,2.1,5.9
11,Paul Millsap\millspa01,35,53,36,21.0,3.5,7.2,.482,0.9,2.6,.346,2.6,4.6,.557,.543,1.2,1.7,.717,1.4,3.4,4.8,1.7,0.8,0.7,0.8,2.0,9.0
12,JaMychal Green\greenja01,30,53,4,18.9,3.0,6.4,.469,1.4,3.4,.410,1.6,3.0,.534,.577,0.8,0.9,.833,1.5,3.4,4.9,0.8,0.5,0.4,1.0,2.4,8.1
13,Shaquille Harrison\harrish01,27,12,0,15.5,1.4,3.5,.405,0.3,0.8,.333,1.2,2.8,.424,.440,1.0,1.2,.857,0.3,1.8,2.1,0.6,1.1,0.3,0.3,1.7,4.1
14,JaVale McGee\mcgeeja01,33,9,0,12.2,1.9,4.1,.459,0.0,0.2,.000,1.9,3.9,.486,.459,0.8,1.1,.700,1.4,2.9,4.3,0.3,0.3,1.0,1.3,3.0,4.6
15,R.J. Hampton\hamptrj01,19,25,0,9.3,1.0,2.4,.417,0.2,0.7,.278,0.8,1.7,.476,.458,0.4,0.5,.750,0.4,1.6,2.0,0.6,0.2,0.1,0.4,0.9,2.6
16,Isaiah Hartenstein\harteis01,22,30,0,9.1,1.4,2.7,.513,0.0,0.0,,1.4,2.7,.513,.513,0.7,1.2,.611,1.3,1.5,2.8,0.5,0.4,0.7,0.7,2.0,3.5
17,Zeke Nnaji\nnajize01,20,40,1,9.1,1.1,2.4,.474,0.5,1.3,.377,0.6,1.1,.595,.579,0.3,0.4,.800,0.3,1.1,1.5,0.2,0.2,0.1,0.2,0.7,3.1
18,Vlatko Čančar\cancavl01,23,36,0,5.3,0.6,1.3,.426,0.2,0.7,.250,0.4,0.6,.609,.489,0.2,0.2,.875,0.2,0.8,1.0,0.3,0.3,0.1,0.3,0.4,1.5
19,Bol Bol\bolbo01,21,29,2,4.7,0.8,1.7,.490,0.3,0.7,.429,0.5,1.0,.536,.582,0.3,0.5,.643,0.0,0.7,0.7,0.2,0.1,0.3,0.4,0.4,2.3
20,Markus Howard\howarma02,21,32,0,3.3,0.4,1.7,.241,0.2,1.2,.158,0.2,0.5,.438,.296,0.1,0.1,.500,0.0,0.4,0.4,0.4,0.1,0.0,0.3,0.5,1.1
21,Greg Whittington\whittgr01,27,4,0,3.0,0.0,0.8,.000,0.0,0.5,.000,0.0,0.3,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Gary Clark\clarkga01,26,2,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
